Date,Open,High,Low,Close,Adj Close,Volume
2017-12-19,247526.203125,329488.812500,243341.187500,317037.500000,317037.500000,442168275753
2017-12-20,319200.156250,493404.656250,319171.906250,444287.687500,444287.687500,1346497257983
2017-12-21,442694.250000,442772.437500,344692.625000,370203.031250,370203.031250,415205230487
2017-12-22,376642.437500,381871.093750,219693.718750,305427.093750,305427.093750,439196228388
2017-12-23,311119.562500,394111.937500,304082.718750,368896.875000,368896.875000,322033299661
2017-12-24,369289.906250,369289.906250,291467.812500,328923.500000,328923.500000,193987728000
2017-12-25,331895.375000,351062.968750,312154.375000,334766.375000,334766.375000,153571352000
2017-12-26,333978.937500,352319.718750,330331.000000,351926.343750,351926.343750,174829470566
2017-12-27,351861.843750,351861.843750,313821.406250,327122.562500,327122.562500,159224209934
2017-12-28,327022.937500,327973.437500,279989.906250,289670.968750,289670.968750,363555914389
2017-12-29,292002.687500,329151.031250,268767.000000,313216.968750,313216.968750,279356240584
2017-12-30,314523.937500,314523.937500,262461.375000,269552.812500,269552.812500,141711819200
2017-12-31,267812.093750,296091.125000,264777.875000,285419.562500,285419.562500,146576393994
2018-01-01,285623.531250,285602.687500,269227.218750,274293.218750,274293.218750,104056392978
2018-01-02,274514.218750,321693.093750,274489.875000,304282.625000,304282.625000,205537249812
2018-01-03,303109.750000,332117.843750,291740.781250,293738.500000,293738.500000,527963405619
2018-01-04,293758.781250,294117.343750,265727.968750,274124.281250,274124.281250,606554931610
2018-01-05,270803.468750,299577.968750,267758.156250,292201.312500,292201.312500,239202167173
2018-01-06,292114.250000,319924.750000,280542.562500,315058.625000,315058.625000,188715222364
2018-01-07,314835.906250,347225.343750,308688.843750,315335.468750,315335.468750,163476860621
2018-01-08,315303.812500,318043.937500,257105.671875,273965.125000,273965.125000,161665742380
2018-01-09,272934.437500,282498.937500,264236.156250,269696.218750,269696.218750,122327252087
2018-01-10,269522.562500,329729.625000,262543.937500,322661.125000,322661.125000,287382598881
2018-01-11,322234.343750,331491.687500,267870.843750,274014.625000,274014.625000,216748391159
2018-01-12,275493.375000,294933.375000,268386.437500,291008.531250,291008.531250,123267730153
2018-01-13,290638.781250,316465.468750,287460.000000,298147.750000,298147.750000,135297825324
2018-01-14,298348.718750,304956.125000,276469.156250,283750.468750,283750.468750,110386542078
2018-01-15,282445.781250,285177.562500,257604.218750,265634.343750,265634.343750,156221132521
2018-01-16,266222.781250,266343.125000,171825.765625,195618.796875,195618.796875,188107866401
2018-01-17,195123.156250,206877.578125,150692.140625,194627.890625,194627.890625,162303663544
2018-01-18,195097.750000,210118.359375,188758.703125,195034.390625,195034.390625,113691144753
2018-01-19,193193.671875,206870.859375,191280.609375,196003.109375,196003.109375,82322035062
2018-01-20,197624.640625,235304.078125,197202.640625,225077.609375,225077.609375,123634742400
2018-01-21,225252.609375,225252.609375,191883.328125,196638.515625,196638.515625,82476412605
2018-01-22,198610.828125,200967.000000,169208.453125,179968.250000,179968.250000,75602597775
2018-01-23,180103.609375,187751.531250,166211.375000,178538.953125,178538.953125,63751928240
2018-01-24,178614.937500,186634.953125,173406.484375,179140.515625,179140.515625,53351114816
2018-01-25,181535.062500,186088.062500,175087.828125,180091.296875,180091.296875,57269014225
2018-01-26,179550.625000,183524.625000,163690.359375,174343.937500,174343.937500,64640303770
2018-01-27,174191.750000,181073.546875,170417.687500,177032.078125,177032.078125,48017357139
2018-01-28,177877.765625,191566.359375,177877.765625,189625.281250,189625.281250,63041272960
2018-01-29,189528.640625,191434.968750,178561.578125,180512.265625,180512.265625,39455861219
2018-01-30,180572.171875,180966.171875,159560.718750,159878.203125,159878.203125,70648753951
2018-01-31,159898.859375,165749.171875,153154.687500,162353.515625,162353.515625,79622333331
2018-02-01,162815.390625,164400.890625,132871.421875,139375.656250,139375.656250,74155043900
2018-02-02,139173.328125,139758.671875,107728.437500,131132.609375,131132.609375,98713958179
2018-02-03,131472.781250,144705.609375,118107.851563,140089.531250,140089.531250,49881888209
2018-02-04,140163.296875,141683.625000,121265.250000,128215.109375,128215.109375,72176858920
2018-02-05,127611.101563,128821.085938,92176.335938,96772.390625,96772.390625,61953157978
2018-02-06,97159.843750,107239.804688,83270.320313,106827.429688,106827.429688,85220783908
2018-02-07,106449.351563,114089.726563,98606.382813,104551.757813,104551.757813,94539470826
2018-02-08,103854.023438,147124.515625,103996.757813,139413.296875,139413.296875,239168641091
2018-02-09,138253.109375,146483.781250,131327.609375,142731.328125,142731.328125,123330412800
2018-02-10,142718.265625,151727.437500,132246.015625,136770.187500,136770.187500,79910442421
2018-02-11,136583.078125,142088.437500,130304.296875,132479.234375,132479.234375,70889184870
2018-02-12,133000.390625,141573.093750,132939.265625,139573.859375,139573.859375,50682014360
2018-02-13,139717.343750,140082.593750,129772.718750,132758.156250,132758.156250,47701365742
2018-02-14,132456.437500,148288.187500,132493.312500,145122.625000,145122.625000,67098136969
2018-02-15,144736.984375,149133.593750,141903.609375,145959.687500,145959.687500,53305346557
2018-02-16,145678.546875,165685.562500,145281.968750,164998.859375,164998.859375,102155361299
2018-02-17,164603.421875,166746.437500,161271.984375,164912.765625,164912.765625,68214727149
2018-02-18,164988.234375,174480.828125,151848.484375,158057.500000,158057.500000,96470587530
2018-02-19,157619.703125,165480.765625,157679.031250,163775.312500,163775.312500,61775057553
2018-02-20,164682.343750,167745.000000,151830.468750,152329.031250,152329.031250,88145080249
2018-02-21,151697.703125,153244.421875,139358.453125,140737.953125,140737.953125,61885074519
2018-02-22,140329.234375,145080.531250,127596.187500,130265.921875,130265.921875,50747939635
2018-02-23,130038.390625,140983.593750,124120.960938,135813.484375,135813.484375,52642890670
2018-02-24,135369.937500,139946.531250,122856.421875,127536.703125,127536.703125,44169550295
2018-02-25,127331.484375,129346.171875,122171.312500,126127.382813,126127.382813,38826914044
2018-02-26,126071.710938,136206.046875,122484.320313,133884.953125,133884.953125,49267086633
2018-02-27,134408.468750,138891.750000,131736.687500,133916.218750,133916.218750,45214367040
2018-02-28,133550.984375,136725.250000,128387.539063,128387.539063,128387.539063,40014591767
2018-03-01,128460.039063,138465.484375,127390.203125,137150.234375,137150.234375,51194598400
2018-03-02,136410.281250,138174.921875,132454.093750,134824.781250,134824.781250,44564981848
2018-03-03,134770.859375,137745.046875,132982.968750,134317.281250,134317.281250,39296034720
2018-03-04,134050.843750,136117.046875,129529.820313,136062.390625,136062.390625,38798491200
2018-03-05,135853.406250,136448.359375,134728.187500,134728.187500,134728.187500,37195789200
2018-03-06,134320.187500,134370.750000,125300.070313,127321.648438,127321.648438,42416127429
2018-03-07,127300.523438,128733.875000,110465.203125,115932.789063,115932.789063,48322132901
2018-03-08,116196.039063,118142.882813,106787.570313,110688.742188,110688.742188,47514087641
2018-03-09,110101.359375,114334.343750,100296.812500,113925.726563,113925.726563,54547405844
2018-03-10,114366.687500,116091.023438,106149.664063,107403.148438,107403.148438,39544085444
2018-03-11,107042.265625,123540.359375,103925.109375,122407.226563,122407.226563,54959311485
2018-03-12,122275.742188,123139.515625,108703.117188,111709.015625,111709.015625,45219794780
2018-03-13,111686.695313,117960.500000,106813.507813,113340.476563,113340.476563,48789142560
2018-03-14,114136.179688,113943.882813,98403.015625,100785.921875,100785.921875,43162288400
2018-03-15,100817.875000,101463.437500,92946.500000,100308.507813,100308.507813,39834967450
2018-03-16,100304.789063,111684.781250,95694.257813,103565.710938,103565.710938,50035497152
2018-03-17,103318.625000,109045.375000,98626.640625,100676.570313,100676.570313,43599496000
2018-03-18,100517.257813,100517.257813,90270.976563,99393.281250,99393.281250,46095668195
2018-03-19,99868.257813,105611.531250,97053.632813,105445.492188,105445.492188,45098669038
2018-03-20,105816.000000,113880.281250,101957.031250,112764.507813,112764.507813,53582306844
2018-03-21,113500.218750,115226.976563,107999.476563,109473.351563,109473.351563,41237596477
2018-03-22,109453.234375,112296.492188,104774.101563,106148.914063,106148.914063,36129058860
2018-03-23,106181.445313,106917.820313,101317.062500,106754.710938,106754.710938,31792992000
2018-03-24,107664.726563,107906.632813,102866.765625,102866.765625,102866.765625,27654457600
2018-03-25,101955.710938,103725.601563,101186.289063,101357.609375,101357.609375,24845548640
2018-03-26,101464.437500,102468.632813,93525.492188,97008.242188,97008.242188,36657535668
2018-03-27,96769.953125,97816.781250,92426.312500,92426.312500,92426.312500,35755491014
2018-03-28,92429.585938,95112.773438,91070.742188,91894.929688,91894.929688,36016849720
2018-03-29,92011.328125,92559.640625,74867.570313,76062.398438,76062.398438,48203337440
2018-03-30,75864.007813,81475.546875,71953.476563,74064.500000,74064.500000,44264410270
2018-03-31,74129.312500,78187.914063,72680.882813,72814.343750,72814.343750,32618844720
2018-04-01,73108.367188,74281.054688,66936.679688,68360.195313,68360.195313,33853356400
2018-04-02,68512.328125,72897.015625,68196.625000,70114.757813,70114.757813,29836588440
2018-04-03,70260.429688,76727.804688,69897.515625,75871.601563,75871.601563,32330348381
2018-04-04,75615.429688,75722.015625,68101.078125,69314.656250,69314.656250,30211639200
2018-04-05,69254.007813,70101.523438,66388.226563,69184.640625,69184.640625,26128781153
2018-04-06,68737.000000,69227.898438,64511.917969,65260.644531,65260.644531,24074635260
2018-04-07,65343.714844,69768.820313,65259.042969,68459.390625,68459.390625,24711498985
2018-04-08,68517.765625,70540.179688,68517.765625,70073.078125,70073.078125,21271007640
2018-04-09,70162.375000,72878.328125,66928.453125,68002.843750,68002.843750,27215593104
2018-04-10,68074.156250,70497.281250,67300.703125,69586.867188,69586.867188,24107784480
2018-04-11,69509.953125,71197.414063,69471.023438,71197.414063,71197.414063,26932995980
2018-04-12,71177.117188,78743.812500,70439.617188,78743.812500,78743.812500,44708391712
2018-04-13,78882.757813,84119.671875,77915.000000,79241.953125,79241.953125,41224917209
2018-04-14,79286.812500,81621.890625,77623.203125,79315.257813,79315.257813,28701652809
2018-04-15,79628.875000,84291.828125,79628.875000,83954.414063,83954.414063,35195166720
2018-04-16,83986.125000,85684.335938,79957.281250,82050.937500,82050.937500,40901664000
2018-04-17,82075.023438,83995.562500,80833.320313,81069.812500,81069.812500,35495323154
2018-04-18,81140.335938,95853.468750,81078.820313,95415.390625,95415.390625,68123652161
2018-04-19,95603.656250,105509.054688,94353.781250,104070.468750,104070.468750,70713246740
2018-04-20,104232.593750,123001.546875,102068.039063,121431.351563,121431.351563,108364796000
2018-04-21,121306.476563,126195.945313,110667.429688,124302.375000,124302.375000,117716353222
2018-04-22,123526.218750,134617.406250,120166.468750,129575.601563,129575.601563,104462281419
2018-04-23,128873.367188,156104.078125,128825.578125,155786.921875,155786.921875,210392728521
2018-04-24,155977.265625,169845.875000,153883.453125,155194.500000,155194.500000,223466496000
2018-04-25,155226.046875,156595.140625,136217.078125,140504.640625,140504.640625,200234877450
2018-04-26,141024.093750,155236.609375,136806.562500,155236.609375,155236.609375,140102127951
2018-04-27,155416.937500,155431.171875,145865.781250,145865.781250,145865.781250,98701917807
2018-04-28,145877.781250,154671.046875,145475.453125,152233.140625,152233.140625,88183680316
2018-04-29,151986.734375,161071.109375,150244.437500,157107.921875,157107.921875,114474004255
2018-04-30,157179.906250,157165.500000,146325.078125,147560.468750,147560.468750,82315358451
2018-05-01,147406.359375,148451.625000,137943.343750,148451.625000,148451.625000,85101184017
2018-05-02,148699.906250,162582.484375,145601.843750,160196.625000,160196.625000,127955671286
2018-05-03,160287.781250,168494.750000,159581.109375,164955.921875,164955.921875,139938202509
2018-05-04,163802.750000,167599.828125,159758.234375,165555.875000,165555.875000,104765787969
2018-05-05,165491.500000,191281.828125,165309.281250,191171.625000,191171.625000,181602684000
2018-05-06,191905.937500,200597.640625,182250.796875,192707.406250,192707.406250,212491214400
2018-05-07,192813.281250,194198.046875,173724.375000,180300.937500,180300.937500,153333130671
2018-05-08,182247.515625,184490.484375,171320.062500,175733.687500,175733.687500,115641871311
2018-05-09,175289.984375,184055.265625,162574.281250,179906.109375,179906.109375,139812284686
2018-05-10,180763.734375,183113.546875,166723.171875,167288.890625,167288.890625,117105177600
2018-05-11,167168.500000,170405.375000,145611.015625,150040.921875,150040.921875,165520382300
2018-05-12,150512.359375,164250.484375,140492.046875,161051.109375,161051.109375,159853399250
2018-05-13,161309.250000,164931.921875,156095.093750,163198.015625,163198.015625,100733943898
2018-05-14,162783.765625,164414.562500,148226.468750,157099.343750,157099.343750,127145250056
2018-05-15,156944.625000,160052.859375,145894.937500,148147.953125,148147.953125,103592402004
2018-05-16,147983.625000,149937.406250,136916.968750,141316.421875,141316.421875,100769190534
2018-05-17,142375.781250,147082.062500,131443.265625,133691.890625,133691.890625,89130767647
2018-05-18,133251.843750,135088.375000,126520.523438,133689.750000,133689.750000,97116208842
2018-05-19,133619.984375,133883.546875,128420.750000,131222.468750,131222.468750,65985759652
2018-05-20,131027.562500,144966.890625,130116.171875,143231.453125,143231.453125,89324814459
2018-05-21,143703.812500,144380.953125,135716.421875,136921.703125,136921.703125,69121574382
2018-05-22,136928.359375,136953.031250,125406.531250,126426.734375,126426.734375,70218843669
2018-05-23,126469.921875,126930.101563,107814.585938,110476.312500,110476.312500,94271523402
2018-05-24,110410.398438,117724.562500,105162.937500,117099.648438,117099.648438,85842471200
2018-05-25,117250.484375,117370.210938,109217.789063,111272.273438,111272.273438,67852785700
2018-05-26,111095.078125,114465.078125,109509.070313,110745.062500,110745.062500,53179022930
2018-05-27,110386.296875,110450.828125,107440.906250,109272.843750,109272.843750,55605808906
2018-05-28,109242.585938,110078.453125,96750.648438,97588.789063,97588.789063,61933117520
2018-05-29,98106.421875,109001.257813,95796.242188,107052.796875,107052.796875,74608523994
2018-05-30,107313.687500,111415.273438,103586.359375,107053.976563,107053.976563,64337775391
2018-05-31,106934.164063,111734.804688,105811.609375,108253.609375,108253.609375,76704081080
2018-06-01,108288.093750,110288.718750,107016.593750,109849.828125,109849.828125,58984971840
2018-06-02,109894.734375,119810.484375,109156.390625,118815.953125,118815.953125,75479425759
2018-06-03,118635.226563,130403.125000,117725.031250,128287.546875,128287.546875,92320339574
