Date,Open,High,Low,Close,Adj Close,Volume
2018-01-19,98367.460938,105831.710938,97446.062500,100301.000000,100301.000000,42126792651
2018-01-20,101130.789063,120412.546875,100914.835938,115179.343750,115179.343750,63267813456
2018-01-21,115268.890625,115268.890625,98281.515625,100568.484375,100568.484375,42181602927
2018-01-22,101577.203125,102807.960938,86154.445313,91625.179688,91625.179688,38490688834
2018-01-23,91694.101563,95966.335938,85084.390625,91415.476563,91415.476563,32642249444
2018-01-24,91454.382813,95902.296875,88812.890625,92062.062500,92062.062500,27417659748
2018-01-25,93292.648438,95863.273438,89857.367188,91816.515625,91816.515625,29197641105
2018-01-26,91540.859375,93819.804688,83752.906250,90165.804688,90165.804688,33430157322
2018-01-27,90087.101563,93646.179688,88135.265625,91556.039063,91556.039063,24833234217
2018-01-28,91993.406250,99072.757813,91993.406250,98172.601563,98172.601563,32637661190
2018-01-29,98122.570313,99056.882813,92234.210938,93302.453125,93302.453125,20393786752
2018-01-30,93333.414063,93584.507813,82757.664063,82889.906250,82889.906250,36628311759
2018-01-31,82900.609375,85586.820313,79261.453125,83549.093750,83549.093750,40974619663
2018-02-01,83786.781250,84394.210938,67983.468750,71308.929688,71308.929688,37940031151
2018-02-02,71205.406250,71629.023438,55209.449219,67326.929688,67326.929688,50682341080
2018-02-03,67501.578125,74295.664063,60639.675781,71925.648438,71925.648438,25610672681
2018-02-04,71963.515625,72744.101563,62249.457031,65858.890625,65858.890625,37074317331
2018-02-05,65548.632813,66562.453125,47555.984375,50849.296875,50849.296875,32553444512
2018-02-06,51052.886719,55675.621094,43720.929688,55426.109375,55426.109375,44215764320
2018-02-07,55229.945313,59835.976563,51613.574219,55388.097656,55388.097656,50083917499
2018-02-08,55018.464844,77623.421875,54909.031250,74884.968750,74884.968750,128467916104
2018-02-09,74261.781250,77839.109375,70398.046875,76536.296875,76536.296875,66133014432
2018-02-10,76529.296875,81360.250000,70913.796875,73339.773438,73339.773438,42850083138
2018-02-11,73239.445313,76191.554688,69872.593750,71042.718750,71042.718750,38014716320
2018-02-12,71322.195313,75451.242188,71286.007813,74197.164063,74197.164063,26942448808
2018-02-13,74273.437500,74570.125000,69752.320313,70981.882813,70981.882813,25504516135
2018-02-14,70820.562500,79528.093750,70825.351563,77267.546875,77267.546875,35725018299
2018-02-15,77062.218750,79273.460938,75640.687500,77577.523438,77577.523438,28331774109
2018-02-16,77428.101563,87908.273438,77225.851563,87543.921875,87543.921875,54200866997
2018-02-17,87334.117188,88471.140625,85566.546875,87498.242188,87498.242188,36192886075
2018-02-18,87538.281250,92574.796875,80566.695313,83996.867188,83996.867188,51267589665
2018-02-19,83764.210938,87656.640625,83776.960938,86591.109375,86591.109375,32661644055
2018-02-20,87070.679688,88538.007813,79983.757813,80171.015625,80171.015625,46390894475
2018-02-21,79838.742188,80523.093750,73384.632813,74232.992188,74232.992188,32641615110
2018-02-22,74017.406250,76574.406250,67505.023438,68879.601563,68879.601563,26833555054
2018-02-23,68759.289063,74451.765625,65582.023438,71498.023438,71498.023438,27713467581
2018-02-24,71264.523438,73673.835938,64676.871094,67140.773438,67140.773438,23252739061
2018-02-25,67032.734375,68093.351563,64316.203125,66140.890625,66140.890625,20360737981
2018-02-26,66111.695313,71396.625000,64299.671875,69602.296875,69602.296875,25612304446
2018-02-27,69874.453125,72451.328125,68555.804688,70114.656250,70114.656250,23672932704
2018-02-28,69923.429688,71841.093750,67849.960938,67849.960938,67849.960938,21146822286
2018-03-01,67888.273438,74062.023438,67338.507813,73394.109375,73394.109375,27396102624
2018-03-02,72998.132813,74024.687500,71670.953125,72436.601563,72436.601563,23943192981
2018-03-03,72407.632813,74005.554688,71447.054688,72163.937500,72163.937500,21112373520
2018-03-04,72020.789063,73223.976563,69591.804688,73187.640625,73187.640625,20869618358
2018-03-05,73075.226563,73802.523438,71561.023438,71561.023438,71561.023438,19756582817
2018-03-06,71344.304688,71303.476563,66859.031250,68589.906250,68589.906250,22850146814
2018-03-07,68578.531250,69309.210938,59418.253906,62040.695313,62040.695313,25859283283
2018-03-08,62181.574219,63267.523438,57499.761719,59406.808594,59406.808594,25500879155
2018-03-09,59091.554688,61182.214844,53180.851563,60412.218750,60412.218750,28925247353
2018-03-10,60646.050781,61560.429688,56288.750000,56953.441406,56953.441406,20969328149
2018-03-11,56762.074219,65510.640625,55109.121094,64899.421875,64899.421875,29139026927
2018-03-12,64829.707031,65404.441406,58070.722656,59775.468750,59775.468750,24197101122
2018-03-13,59763.523438,62615.980469,56767.917969,60693.335938,60693.335938,26126375148
2018-03-14,61119.429688,61333.101563,52818.250000,54175.066406,54175.066406,23200858374
2018-03-15,54192.242188,54790.351563,50025.074219,54201.695313,54201.695313,21524822788
2018-03-16,54199.687500,60589.625000,51914.675781,56184.980469,56184.980469,27144540425
2018-03-17,56050.937500,59157.734375,53505.511719,54617.609375,54617.609375,23652973370
2018-03-18,54531.179688,54531.179688,48972.515625,53928.289063,53928.289063,25010347926
2018-03-19,54186.000000,57748.265625,52770.683594,57437.906250,57437.906250,24565990785
2018-03-20,57639.726563,61990.917969,55348.949219,60921.851563,60921.851563,28948235075
2018-03-21,61319.328125,62198.324219,58285.261719,58776.328125,58776.328125,22140497860
2018-03-22,58765.527344,60724.496094,56610.375000,58030.500000,58030.500000,19751378456
2018-03-23,58048.285156,58273.472656,55332.796875,58335.250000,58335.250000,17373024240
2018-03-24,58832.523438,58964.710938,56210.714844,56210.714844,56210.714844,15111555472
2018-03-25,55712.875000,56712.511719,55233.421875,55293.800781,55293.800781,13554037205
2018-03-26,55352.078125,55667.890625,50759.753906,52627.773438,52627.773438,19887017045
2018-03-27,52498.503906,52999.203125,50303.855469,50303.855469,50303.855469,19460248892
2018-03-28,50305.636719,51680.902344,49261.269531,49690.039063,49690.039063,19475270846
2018-03-29,49752.980469,50066.597656,40260.218750,40895.843750,40895.843750,25917090874
2018-03-30,40789.175781,43885.890625,38636.304688,39814.023438,39814.023438,23794724064
2018-03-31,39848.867188,42030.605469,39070.250000,39141.996094,39141.996094,17534547612
2018-04-01,39300.046875,39930.433594,35982.402344,36730.343750,36730.343750,18189611240
2018-04-02,36812.085938,39342.437500,36639.007813,38040.785156,38040.785156,16187851070
2018-04-03,38119.820313,41462.308594,37878.839844,41059.632813,41059.632813,17496298748
2018-04-04,40921.000000,40924.382813,36661.273438,37274.496094,37274.496094,16246544544
2018-04-05,37241.882813,37679.730469,35807.847656,37259.308594,37259.308594,14071625933
2018-04-06,37018.234375,37234.984375,35077.675781,35490.167969,35490.167969,13092314040
2018-04-07,35535.343750,37941.816406,35489.296875,37229.718750,37229.718750,13438654485
2018-04-08,37261.460938,38361.296875,37261.460938,38067.816406,38067.816406,11555662867
2018-04-09,38116.328125,40076.070313,37991.449219,38633.195313,38633.195313,15461490752
2018-04-10,38673.710938,41307.921875,39252.875000,40880.660156,40880.660156,14162760747
2018-04-11,40835.476563,41592.125000,40859.031250,41592.125000,41592.125000,15733726215
2018-04-12,41580.269531,45567.117188,40693.539063,45567.117188,45567.117188,25871650780
2018-04-13,45647.519531,48365.414063,44989.621094,45788.972656,45788.972656,23821303530
2018-04-14,45814.894531,47164.191406,44853.597656,45831.332031,45831.332031,16584891606
2018-04-15,46012.550781,48706.980469,46012.550781,48426.281250,48426.281250,20301149585
2018-04-16,48444.574219,50250.324219,46421.757813,46945.628906,46945.628906,23401979712
2018-04-17,46959.410156,48423.160156,46474.816406,46623.894531,46623.894531,20413641960
2018-04-18,46664.449219,54385.921875,46607.480469,54102.054688,54102.054688,38627202379
2018-04-19,54208.804688,59992.722656,53341.289063,59011.363281,59011.363281,40096727643
2018-04-20,59103.292969,69643.484375,58224.281250,69234.593750,69234.593750,61784643944
2018-04-21,69163.398438,71951.148438,63097.500000,70871.523438,70871.523438,67116473603
2018-04-22,70428.992188,76752.679688,68513.414063,73727.398438,73727.398438,59438137507
2018-04-23,73327.835938,89231.609375,73327.835938,88512.093750,88512.093750,119536997247
2018-04-24,88620.242188,96402.085938,87042.710938,87801.718750,87801.718750,126426786288
2018-04-25,87819.562500,88386.718750,77679.382813,80204.046875,80204.046875,114299766027
2018-04-26,80500.570313,89028.460938,78059.164063,89028.460938,89028.460938,80348807537
2018-04-27,89131.882813,89108.984375,83110.851563,83110.851563,83110.851563,56238004488
2018-04-28,83117.687500,88230.445313,82915.140625,86894.781250,86894.781250,50335306193
2018-04-29,86754.132813,91939.507813,85759.625000,89636.210938,89636.210938,65311890084
2018-04-30,89677.281250,89677.281250,84346.062500,85001.179688,85001.179688,47417186104
2018-05-01,84912.398438,86117.078125,79441.437500,86117.078125,86117.078125,49367362620
2018-05-02,86261.109375,94342.554688,84563.976563,93448.664063,93448.664063,74641313144
2018-05-03,93501.843750,98450.640625,92620.476563,95173.820313,95173.820313,80739468739
2018-05-04,94508.476563,96846.054688,92384.570313,94804.593750,94804.593750,59993512522
2018-05-05,94767.734375,109536.414063,94663.390625,109473.312500,109473.312500,103993709280
